NAME                                       STATUS                        ROLES                  AGE      VERSION    INTERNAL-IP       EXTERNAL-IP   OS-IMAGE                KERNEL-VERSION                  CONTAINER-RUNTIME               REGION
hcc-nrp-shor-c5913.unl.edu                 Ready                         <none>                 148d     v1.23.14   129.93.153.138    <none>        Ubuntu 20.04 LTS        5.4.0-135-generic               containerd://1.5.9              us-central
hcc-nrp-shor-c5917.unl.edu                 Ready                         <none>                 148d     v1.23.14   129.93.153.139    <none>        Ubuntu 20.04 LTS        5.4.0-137-generic               containerd://1.5.9              us-central
hcc-nrp-shor-c5921.unl.edu                 Ready                         <none>                 148d     v1.23.14   129.93.153.140    <none>        Ubuntu 20.04 LTS        5.4.0-126-generic               containerd://1.5.9              us-central
hcc-nrp-shor-c5925.unl.edu                 Ready                         <none>                 148d     v1.23.14   129.93.153.141    <none>        Ubuntu 20.04 LTS        5.4.0-136-generic               containerd://1.5.9              us-central
hcc-nrp-shor-c5930.unl.edu                 Ready                         <none>                 112d     v1.23.14   129.93.153.142    <none>        Ubuntu 20.04.1 LTS      5.4.0-135-generic               containerd://1.5.9              us-central
hcc-nrp-shor-c6005.unl.edu                 Ready                         <none>                 147d     v1.23.14   129.93.153.129    <none>        Ubuntu 20.04 LTS        5.4.0-131-generic               containerd://1.5.9              us-central
hcc-nrp-shor-c6009.unl.edu                 Ready                         <none>                 147d     v1.23.14   129.93.153.130    <none>        Ubuntu 20.04 LTS        5.4.0-126-generic               containerd://1.5.9              us-central
hcc-nrp-shor-c6013.unl.edu                 Ready                         <none>                 147d     v1.23.14   129.93.153.131    <none>        Ubuntu 20.04 LTS        5.4.0-137-generic               containerd://1.5.9              us-central
hcc-nrp-shor-c6017.unl.edu                 Ready                         <none>                 147d     v1.23.14   129.93.153.132    <none>        Ubuntu 20.04 LTS        5.4.0-136-generic               containerd://1.5.9              us-central
hcc-nrp-shor-c6021.unl.edu                 Ready                         <none>                 147d     v1.23.14   129.93.153.133    <none>        Ubuntu 20.04 LTS        5.4.0-139-generic               containerd://1.5.9              us-central
hcc-nrp-shor-c6025.unl.edu                 Ready                         <none>                 147d     v1.23.14   129.93.153.134    <none>        Ubuntu 20.04 LTS        5.4.0-26-generic                containerd://1.5.9              us-central
hcc-prp-c1312.unl.edu                      Ready                         <none>                 650d     v1.23.14   129.93.241.5      <none>        Ubuntu 20.04.3 LTS      5.4.0-125-generic               docker://20.10.12               us-central
hcc-prp-c5027.unl.edu                      Ready                         <none>                 309d     v1.23.14   129.93.244.193    <none>        Ubuntu 20.04.4 LTS      5.4.0-125-generic               containerd://1.5.9              us-central
hcc-prp-c5036.unl.edu                      Ready                         <none>                 305d     v1.23.14   129.93.244.212    <none>        Ubuntu 20.04.5 LTS      5.4.0-135-generic               containerd://1.5.9              us-central
hcc-prp-c5038.unl.edu                      Ready                         <none>                 233d     v1.23.14   129.93.244.213    <none>        Ubuntu 20.04.4 LTS      5.4.0-135-generic               containerd://1.5.9              us-central
hydra.gi.ucsc.edu                          Ready                         <none>                 4y82d    v1.23.14   128.114.198.38    <none>        Ubuntu 20.04.3 LTS      5.4.0-135-generic               containerd://1.5.9              us-west
